Date,Open,High,Low,Close,Adj Close,Volume
2019-07-11,136500.000000,140500.000000,135000.000000,139000.000000,130411.523438,1070266
2019-07-12,138500.000000,142000.000000,138000.000000,139500.000000,130880.625000,549266
2019-07-15,139500.000000,140000.000000,137000.000000,138000.000000,129473.304688,280032
2019-07-16,139000.000000,139000.000000,132000.000000,133000.000000,124782.242188,902923
2019-07-17,133000.000000,134500.000000,132000.000000,133500.000000,125251.351563,375651
2019-07-18,133000.000000,134500.000000,132500.000000,134000.000000,125720.453125,355896
2019-07-19,135500.000000,135500.000000,132000.000000,134500.000000,126189.570313,363374
2019-07-22,134000.000000,135500.000000,132000.000000,133000.000000,124782.242188,608574
2019-07-23,133500.000000,133500.000000,128500.000000,132000.000000,123844.039063,1128639
2019-07-24,131500.000000,133500.000000,131500.000000,132500.000000,124313.132813,419148
2019-07-25,131500.000000,133500.000000,130000.000000,131500.000000,123374.929688,613289
2019-07-26,130500.000000,132500.000000,130000.000000,130500.000000,122436.710938,394087
2019-07-29,130000.000000,131000.000000,126500.000000,128000.000000,120091.179688,464288
2019-07-30,129000.000000,129500.000000,126500.000000,128000.000000,120091.179688,321935
2019-07-31,126500.000000,129000.000000,126500.000000,126500.000000,118683.859375,488189
2019-08-01,126500.000000,130000.000000,125000.000000,125500.000000,117745.648438,468797
2019-08-02,126000.000000,128500.000000,124500.000000,127500.000000,119622.078125,605798
2019-08-05,127500.000000,128000.000000,125500.000000,127500.000000,119622.078125,748862
2019-08-06,126000.000000,127500.000000,123000.000000,126000.000000,118214.757813,762619
2019-08-07,126500.000000,129000.000000,126500.000000,127000.000000,119152.976563,752576
2019-08-08,129000.000000,132500.000000,128500.000000,130000.000000,121967.609375,1303906
2019-08-09,131500.000000,132500.000000,129000.000000,132500.000000,124313.132813,521574
2019-08-12,131000.000000,132500.000000,130000.000000,131000.000000,122905.820313,350563
2019-08-13,129500.000000,131000.000000,129000.000000,129000.000000,121029.390625,334053
2019-08-14,130000.000000,131500.000000,127000.000000,127500.000000,119622.078125,614128
2019-08-16,126500.000000,128000.000000,125000.000000,128000.000000,120091.179688,352114
2019-08-19,127500.000000,129500.000000,127500.000000,128000.000000,120091.179688,242024
